INSTANCIA,GRAUS,DIST_F
g15_41_30-1.txt 10 9 8 7 6 5 5 5 5 4 4 4 4 3 3 0.00
g15_41_30-2.txt, 9 8 6 6 6 6 6 6 6 5 5 4 4 3 2, 3.7417
g15_41_30-3.txt, 10 7 7 6 6 6 5 5 5 5 5 4 4 4 3, 3.1623
g15_41_30-4.txt, 9 8 7 7 7 6 6 5 5 5 5 4 3 3 2, 3.1623
g15_41_30-5.txt, 11 7 7 6 6 6 6 5 5 5 5 4 4 3 2, 3.4641
g15_41_30-6.txt, 8 7 7 6 6 6 6 6 5 5 4 4 4 4 4, 4.0000
g15_41_30-7.txt, 7 7 7 7 7 6 6 6 5 5 5 4 4 3 3, 4.4721
g15_41_30-8.txt, 10 7 7 6 6 6 5 5 5 5 5 5 4 4 2, 3.4641
g15_41_30-9.txt, 9 8 7 7 6 6 6 5 5 5 4 4 4 3 3, 2.4495
g15_41_30-10.txt, 8 7 7 6 6 6 6 5 5 5 5 4 4 4 4, 4.0000
g15_41_30-11.txt, 9 8 7 6 6 6 6 5 5 5 4 4 4 4 3, 2.8284
g15_41_30-12.txt, 9 8 7 7 7 6 6 6 6 5 4 3 3 3 2, 3.4641
g15_41_30-13.txt, 9 6 6 6 6 6 6 6 6 6 6 4 3 3 3, 5.2915
g15_41_30-14.txt, 11 7 7 6 6 6 6 5 5 5 4 4 4 3 3, 3.1623
g15_41_30-15.txt, 8 8 7 7 6 6 6 6 6 5 5 4 3 3 2, 3.7417
g15_41_30-16.txt, 8 8 7 7 7 6 6 6 5 5 4 4 3 3 3, 3.4641
g15_41_30-17.txt, 9 9 8 7 6 5 5 5 5 5 4 4 4 3 3, 1.4142
g15_41_30-18.txt, 9 8 8 8 6 6 6 5 5 5 5 4 3 2 2, 3.1623
g15_41_30-19.txt, 9 8 7 7 7 6 6 6 5 5 5 3 3 3 2, 3.4641
g15_41_30-20.txt, 9 8 7 7 6 6 6 5 5 5 4 4 4 4 2, 2.8284
g15_41_30-21.txt, 8 7 7 7 6 6 6 5 5 5 5 4 4 4 3, 3.7417
g15_41_30-22.txt, 9 8 7 7 7 6 6 6 5 5 4 4 3 3 2, 3.1623
g15_41_30-23.txt, 9 9 7 6 6 6 6 5 5 4 4 4 4 4 3, 2.4495
g15_41_30-24.txt, 8 8 7 7 7 6 5 5 5 5 5 4 4 3 3, 3.1623
g15_41_30-25.txt, 8 7 7 6 6 6 6 5 5 5 5 5 4 4 3, 4.0000
g15_41_30-26.txt, 8 7 7 7 7 6 6 5 5 5 5 5 4 3 2, 4.0000
g15_41_30-27.txt, 8 8 7 7 7 6 6 5 5 5 5 4 4 3 2, 3.4641
g15_41_30-28.txt, 7 7 7 7 6 6 6 6 6 5 5 4 4 4 2, 4.6904
g15_41_30-29.txt, 9 7 7 6 6 6 6 5 5 5 5 4 4 4 3, 3.4641
g15_41_30-30.txt, 10 6 6 6 6 5 5 5 5 5 5 5 5 4 4, 4.4721
g15_41_30-31.txt, 9 7 7 7 7 6 6 5 5 5 5 5 4 2 2, 3.7417
g15_41_30-32.txt, 10 7 7 6 6 6 6 6 6 5 5 4 3 3 2, 3.7417
g15_41_30-33.txt, 8 8 7 6 6 6 6 6 5 5 5 4 4 4 2, 3.7417
g15_41_30-34.txt, 9 8 7 7 6 6 6 5 5 5 4 4 4 3 3, 2.4495
g15_41_30-35.txt, 8 8 7 7 7 7 7 6 5 4 4 4 3 3 2, 4.2426
g15_41_30-36.txt, 9 8 8 7 7 6 6 6 5 5 3 3 3 3 3, 3.1623
g15_41_30-37.txt, 8 8 8 6 6 6 6 5 5 5 4 4 4 4 3, 3.1623
g15_41_30-38.txt, 10 7 6 6 6 6 5 5 5 5 5 5 4 4 3, 3.7417
g15_41_30-39.txt, 9 9 7 7 6 6 6 5 5 5 4 4 3 3 3, 2.4495
g15_41_30-40.txt, 10 7 7 6 6 6 6 6 6 5 4 4 3 3 3, 3.4641
g15_41_30-41.txt, 8 7 7 6 6 5 5 5 5 5 5 5 5 4 4, 4.0000
g15_41_30-42.txt, 8 8 8 7 7 6 6 6 6 4 4 3 3 3 3, 3.4641
