INSTANCIA,GRAUS,DIST_F
g15_41_30-1.txt 6 8 3 5 10 4 7 4 5 4 3 5 9 5 4 0.00
g15_41_30-2.txt, 6 5 6 6 3 6 5 6 4 2 8 4 6 9 6, 11.8322
g15_41_30-3.txt, 6 5 6 5 7 10 6 4 4 3 5 4 5 7 5, 9.5917
g15_41_30-4.txt, 5 5 9 6 3 3 2 5 7 7 7 5 8 4 6, 12.5698
g15_41_30-5.txt, 6 7 3 6 5 2 5 6 4 11 6 5 7 5 4, 10.0995
g15_41_30-6.txt, 4 8 5 6 6 6 4 4 7 5 7 4 4 6 6, 9.4868
g15_41_30-7.txt, 3 5 7 7 7 4 6 7 5 6 7 5 6 4 3, 9.3808
g15_41_30-8.txt, 7 6 4 6 5 5 5 5 5 7 2 4 6 5 10, 9.6954
g15_41_30-9.txt, 9 3 4 5 6 6 7 3 8 5 4 5 4 6 7, 10.0995
g15_41_30-10.txt, 8 4 7 7 4 6 5 4 5 4 5 6 6 5 6, 10.0995
g15_41_30-11.txt, 6 6 5 4 6 6 9 8 4 5 3 7 4 4 5, 9.0554
g15_41_30-12.txt, 2 6 3 6 7 3 9 7 8 6 5 3 6 4 7, 9.1652
g15_41_30-13.txt, 3 6 6 6 6 6 6 9 4 6 3 6 6 6 3, 9.2736
g15_41_30-14.txt, 7 3 6 3 6 4 5 6 4 7 6 11 5 5 4, 11.5758
g15_41_30-15.txt, 3 5 8 6 6 4 6 7 3 8 2 5 6 7 6, 10.3923
g15_41_30-16.txt, 7 5 6 8 8 4 7 4 6 3 5 6 7 3 3, 6.9282
g15_41_30-17.txt, 4 4 3 4 5 5 9 6 5 5 8 7 9 3 5, 9.4868
g15_41_30-18.txt, 4 5 6 2 3 5 9 6 6 5 8 8 2 5 8, 13.7840
g15_41_30-19.txt, 8 5 6 2 3 9 5 6 7 6 7 3 7 3 5, 12.2474
g15_41_30-20.txt, 4 4 8 6 5 7 5 6 5 2 6 4 4 9 7, 12.3288
g15_41_30-21.txt, 7 5 5 6 4 6 5 7 5 4 8 6 3 4 7, 11.8322
g15_41_30-22.txt, 3 3 6 4 7 5 2 8 6 4 9 7 6 7 5, 12.2474
g15_41_30-23.txt, 7 5 6 9 4 5 6 4 3 6 4 6 9 4 4, 9.1652
g15_41_30-24.txt, 5 5 7 3 8 7 5 8 3 4 5 5 7 6 4, 8.7178
g15_41_30-25.txt, 4 7 5 8 5 5 5 5 3 6 6 6 6 7 4, 8.9443
g15_41_30-26.txt, 2 6 7 8 3 7 7 5 7 5 5 6 5 5 4, 11.4018
g15_41_30-27.txt, 5 3 8 7 5 6 7 5 2 7 5 4 4 6 8, 12.2474
g15_41_30-28.txt, 6 4 7 6 6 5 6 4 2 7 4 7 6 7 5, 9.3808
g15_41_30-29.txt, 7 4 4 5 5 6 4 6 6 3 5 7 9 6 5, 8.4853
g15_41_30-30.txt, 5 4 5 5 6 5 5 6 5 4 6 5 6 5 10, 10.0000
g15_41_30-31.txt, 5 7 7 4 6 9 5 5 5 2 6 5 7 7 2, 9.4868
g15_41_30-32.txt, 7 6 6 4 7 10 6 3 5 2 5 6 6 6 3, 9.0554
g15_41_30-33.txt, 6 7 6 4 6 8 5 5 6 2 5 6 4 8 4, 9.5917
g15_41_30-34.txt, 6 5 4 6 3 5 4 9 5 7 8 7 3 6 4, 13.0384
g15_41_30-35.txt, 7 4 7 5 6 4 2 8 7 8 7 3 4 7 3, 12.6491
g15_41_30-36.txt, 7 6 3 9 3 6 3 8 5 5 8 3 6 3 7, 12.5698
g15_41_30-37.txt, 4 6 6 6 5 8 4 5 6 4 5 8 3 8 4, 11.3137
g15_41_30-38.txt, 6 4 5 5 6 5 10 6 5 4 5 7 3 6 5, 9.7980
g15_41_30-39.txt, 3 3 5 3 9 6 7 4 5 9 4 6 5 7 6, 9.8995
g15_41_30-40.txt, 6 7 6 4 10 6 6 3 4 6 3 5 7 3 6, 5.8310
g15_41_30-41.txt, 6 7 4 5 5 4 5 5 7 5 8 5 6 5 5, 8.4853
g15_41_30-42.txt, 7 4 3 8 3 8 6 6 7 3 8 4 6 6 3, 11.7473
