Instance; degrees ; Cosine similarity
g15_41_30-1; 10 9 8 7 6 5 5 5 5 4 4 4 4 3 3 ; 1.0
g15_41_30-38; 10 7 6 6 6 6 5 5 5 5 5 5 4 4 3 ; 0.4796255
g15_41_30-17; 9 9 8 7 6 5 5 5 5 5 4 4 4 3 3 ; 0.479382
g15_41_30-32; 10 7 7 6 6 6 6 6 6 5 5 4 3 3 2 ; 0.4775161
g15_41_30-36; 9 8 8 7 7 6 6 6 5 5 3 3 3 3 3 ; 0.4702874
g15_41_30-40; 10 7 7 6 6 6 6 6 6 5 4 4 3 3 3 ; 0.449041
g15_41_30-16; 8 8 7 7 7 6 6 6 5 5 4 4 3 3 3 ; 0.4450312
g15_41_30-24; 8 8 7 7 7 6 5 5 5 5 5 4 4 3 3 ; 0.425326
g15_41_30-5; 11 7 7 6 6 6 6 5 5 5 5 4 4 3 2 ; 0.4235258
g15_41_30-23; 9 9 7 6 6 6 6 5 5 4 4 4 4 4 3 ; 0.4105164
g15_41_30-41; 8 7 7 6 6 5 5 5 5 5 5 5 5 4 4 ; 0.4091572
g15_41_30-25; 8 7 7 6 6 6 6 5 5 5 5 5 4 4 3 ; 0.403515
g15_41_30-11; 9 8 7 6 6 6 6 5 5 5 4 4 4 4 3 ; 0.3995028
g15_41_30-13; 9 6 6 6 6 6 6 6 6 6 6 4 3 3 3 ; 0.3994541
g15_41_30-3; 10 7 7 6 6 6 5 5 5 5 5 4 4 4 3 ; 0.395483
g15_41_30-15; 8 8 7 7 6 6 6 6 6 5 5 4 3 3 2 ; 0.3872373
g15_41_30-39; 9 9 7 7 6 6 6 5 5 5 4 4 3 3 3 ; 0.379731
g15_41_30-6; 8 7 7 6 6 6 6 6 5 5 4 4 4 4 4 ; 0.376601
g15_41_30-34; 9 8 7 7 6 6 6 5 5 5 4 4 4 3 3 ; 0.3737016
g15_41_30-29; 9 7 7 6 6 6 6 5 5 5 5 4 4 4 3 ; 0.3729128
g15_41_30-19; 9 8 7 7 7 6 6 6 5 5 5 3 3 3 2 ; 0.3716555
g15_41_30-27; 8 8 7 7 7 6 6 5 5 5 5 4 4 3 2 ; 0.3706794
g15_41_30-10; 8 7 7 6 6 6 6 5 5 5 5 4 4 4 4 ; 0.3690728
g15_41_30-14; 11 7 7 6 6 6 6 5 5 5 4 4 4 3 3 ; 0.3673221
g15_41_30-35; 8 8 7 7 7 7 7 6 5 4 4 4 3 3 2 ; 0.3662293
g15_41_30-31; 9 7 7 7 7 6 6 5 5 5 5 5 4 2 2 ; 0.3662002
g15_41_30-8; 10 7 7 6 6 6 5 5 5 5 5 5 4 4 2 ; 0.3644757
g15_41_30-33; 8 8 7 6 6 6 6 6 5 5 5 4 4 4 2 ; 0.3636892
g15_41_30-18; 9 8 8 8 6 6 6 5 5 5 5 4 3 2 2 ; 0.3615507
g15_41_30-2; 9 8 6 6 6 6 6 6 6 5 5 4 4 3 2 ; 0.3497643
g15_41_30-37; 8 8 8 6 6 6 6 5 5 5 4 4 4 4 3 ; 0.3317272
g15_41_30-42; 8 8 8 7 7 6 6 6 6 4 4 3 3 3 3 ; 0.3260547
g15_41_30-28; 7 7 7 7 6 6 6 6 6 5 5 4 4 4 2 ; 0.3155697
g15_41_30-7; 7 7 7 7 7 6 6 6 5 5 5 4 4 3 3 ; 0.3124409
g15_41_30-12; 9 8 7 7 7 6 6 6 6 5 4 3 3 3 2 ; 0.305656
g15_41_30-26; 8 7 7 7 7 6 6 5 5 5 5 5 4 3 2 ; 0.2966092
g15_41_30-4; 9 8 7 7 7 6 6 5 5 5 5 4 3 3 2 ; 0.2940213
g15_41_30-21; 8 7 7 7 6 6 6 5 5 5 5 4 4 4 3 ; 0.2923919
g15_41_30-30; 10 6 6 6 6 5 5 5 5 5 5 5 5 4 4 ; 0.2921996
g15_41_30-20; 9 8 7 7 6 6 6 5 5 5 4 4 4 4 2 ; 0.283626
g15_41_30-9; 9 8 7 7 6 6 6 5 5 5 4 4 4 3 3 ; 0.2831494
g15_41_30-22; 9 8 7 7 7 6 6 6 5 5 4 4 3 3 2 ; 0.2579219
