INSTANCIA; GRAUS; JACCARD
g15_41_30-1; 10 9 8 7 6 5 5 5 5 4 4 4 4 3 3 ; 1.0
g15_41_30-16; 8 8 7 7 7 6 6 6 5 5 4 4 3 3 3 ; 0.32258
g15_41_30-17; 9 9 8 7 6 5 5 5 5 5 4 4 4 3 3 ; 0.32258
g15_41_30-32; 10 7 7 6 6 6 6 6 6 5 5 4 3 3 2 ; 0.32258
g15_41_30-38; 10 7 6 6 6 6 5 5 5 5 5 5 4 4 3 ; 0.32258
g15_41_30-40; 10 7 7 6 6 6 6 6 6 5 4 4 3 3 3 ; 0.32258
g15_41_30-36; 9 8 8 7 7 6 6 6 5 5 3 3 3 3 3 ; 0.30159
g15_41_30-5; 11 7 7 6 6 6 6 5 5 5 5 4 4 3 2 ; 0.28125
g15_41_30-24; 8 8 7 7 7 6 5 5 5 5 5 4 4 3 3 ; 0.28125
g15_41_30-3; 10 7 7 6 6 6 5 5 5 5 5 4 4 4 3 ; 0.26154
g15_41_30-11; 9 8 7 6 6 6 6 5 5 5 4 4 4 4 3 ; 0.26154
g15_41_30-23; 9 9 7 6 6 6 6 5 5 4 4 4 4 4 3 ; 0.26154
g15_41_30-25; 8 7 7 6 6 6 6 5 5 5 5 5 4 4 3 ; 0.26154
g15_41_30-31; 9 7 7 7 7 6 6 5 5 5 5 5 4 2 2 ; 0.26154
g15_41_30-41; 8 7 7 6 6 5 5 5 5 5 5 5 5 4 4 ; 0.26154
g15_41_30-6; 8 7 7 6 6 6 6 6 5 5 4 4 4 4 4 ; 0.24242
g15_41_30-8; 10 7 7 6 6 6 5 5 5 5 5 5 4 4 2 ; 0.24242
g15_41_30-13; 9 6 6 6 6 6 6 6 6 6 6 4 3 3 3 ; 0.24242
g15_41_30-15; 8 8 7 7 6 6 6 6 6 5 5 4 3 3 2 ; 0.24242
g15_41_30-19; 9 8 7 7 7 6 6 6 5 5 5 3 3 3 2 ; 0.24242
g15_41_30-27; 8 8 7 7 7 6 6 5 5 5 5 4 4 3 2 ; 0.24242
g15_41_30-29; 9 7 7 6 6 6 6 5 5 5 5 4 4 4 3 ; 0.24242
g15_41_30-33; 8 8 7 6 6 6 6 6 5 5 5 4 4 4 2 ; 0.24242
g15_41_30-39; 9 9 7 7 6 6 6 5 5 5 4 4 3 3 3 ; 0.24242
g15_41_30-2; 9 8 6 6 6 6 6 6 6 5 5 4 4 3 2 ; 0.22388
g15_41_30-10; 8 7 7 6 6 6 6 5 5 5 5 4 4 4 4 ; 0.22388
g15_41_30-14; 11 7 7 6 6 6 6 5 5 5 4 4 4 3 3 ; 0.22388
g15_41_30-18; 9 8 8 8 6 6 6 5 5 5 5 4 3 2 2 ; 0.22388
g15_41_30-34; 9 8 7 7 6 6 6 5 5 5 4 4 4 3 3 ; 0.22388
g15_41_30-35; 8 8 7 7 7 7 7 6 5 4 4 4 3 3 2 ; 0.22388
g15_41_30-12; 9 8 7 7 7 6 6 6 6 5 4 3 3 3 2 ; 0.20588
g15_41_30-28; 7 7 7 7 6 6 6 6 6 5 5 4 4 4 2 ; 0.20588
g15_41_30-37; 8 8 8 6 6 6 6 5 5 5 4 4 4 4 3 ; 0.20588
g15_41_30-42; 8 8 8 7 7 6 6 6 6 4 4 3 3 3 3 ; 0.20588
g15_41_30-7; 7 7 7 7 7 6 6 6 5 5 5 4 4 3 3 ; 0.18841
g15_41_30-26; 8 7 7 7 7 6 6 5 5 5 5 5 4 3 2 ; 0.18841
g15_41_30-4; 9 8 7 7 7 6 6 5 5 5 5 4 3 3 2 ; 0.17143
g15_41_30-9; 9 8 7 7 6 6 6 5 5 5 4 4 4 3 3 ; 0.17143
g15_41_30-20; 9 8 7 7 6 6 6 5 5 5 4 4 4 4 2 ; 0.17143
g15_41_30-21; 8 7 7 7 6 6 6 5 5 5 5 4 4 4 3 ; 0.17143
g15_41_30-30; 10 6 6 6 6 5 5 5 5 5 5 5 5 4 4 ; 0.17143
g15_41_30-22; 9 8 7 7 7 6 6 6 5 5 4 4 3 3 2 ; 0.15493
