Instance,Degree distribution,Sequential,Adjacency,Edges,Cycle,Adjacency,Edges,Cycle,Total trees,Cosine similarity
g_15_33_30-1,7 6 6 6 5 5 5 5 4 4 4 3 2 2 2,195.3,43.4,125.2,97.1,3.98387096774194,1.38099041533546,1.78063851699279,17303884,1.00
g_15_33_30-2,7 6 6 5 5 5 5 4 4 4 4 3 3 3 2,314.2,148.3,195.7,141.2,1.16587997302765,0.883495145631068,1.22450424929178,28169400,0.4234039
g_15_33_30-8,8 7 6 6 5 4 4 4 4 4 3 3 3 3 2,231.9,68.3,117.2,118.4,2.53147877013177,1.47525597269625,1.46030405405405,20742902,0.3614249
g_15_33_30-10,8 6 5 5 5 5 5 5 4 4 3 3 3 3 2,261.8,63.6,144.3,128.4,2.7185534591195,1.1981981981982,1.34657320872274,23560315,0.3487001
g_15_33_30-5,7 6 5 5 5 5 5 4 4 4 4 3 3 3 3,390.5,135.1,173.1,183.0,1.27979274611399,0.998844598497978,0.944808743169399,34523324,0.3168621
g_15_33_30-12,7 6 5 5 5 5 4 4 4 4 4 4 4 3 2,369.4,101.7,233.9,159.7,1.70009832841691,0.739204788371099,1.08265497808391,33246233,0.3014345
g_15_33_30-4,7 6 6 5 5 5 4 4 4 4 4 3 3 3 3,374.2,146.5,217.1,165.4,1.180204778157,0.796407185628743,1.0453446191052,34180138,0.2983567
g_15_33_30-9,6 6 5 5 5 5 5 4 4 4 4 4 3 3 3,366.4,108.1,169.6,173.6,1.59944495837188,1.01945754716981,0.995967741935484,32628864,0.2965199
g_15_33_30-3,7 7 6 6 6 4 4 4 4 4 3 3 3 3 2,209.3,48.6,126.3,108.3,3.55761316872428,1.36896278701504,1.59649122807018,18498171,0.2859435
g_15_33_30-6,7 6 6 5 5 4 4 4 4 4 4 4 3 3 3,415.0,162.1,212.4,182.3,1.06662553979025,0.814030131826742,0.948436642896325,36138408,0.2787381
g_15_33_30-13,8 7 6 5 5 4 4 4 4 4 4 4 3 2 2,204.1,74.7,106.5,118.4,2.31459170013387,1.62347417840376,1.46030405405405,18407812,0.2778011
g_15_33_30-7,7 7 6 5 5 5 4 4 4 4 4 4 3 2 2,263.7,168.4,217.4,137.9,1.02672209026128,0.795308187672493,1.25380710659898,24218238,0.2544924
g_15_33_30-11,7 7 5 5 5 5 5 4 4 4 3 3 3 3 3,318.9,146.9,187.1,141.0,1.17699115044248,0.924104756814538,1.22624113475177,28178608,0.2544248
g_15_33_30-14,8 7 6 6 5 5 5 4 4 4 3 3 2 2 2,172.9,59.5,79.3,118.9,2.90588235294118,2.18032786885246,1.45416316232128,15063402,0.2508247
g_15_33_30-15,8 7 6 5 4 4 4 4 4 4 4 3 3 3 3,291.1,78.5,114.4,128.6,2.20254777070064,1.51136363636364,1.34447900466563,25713904,0.2248129
