This is a test battery for tadmiss ran at 19-03-2024
Test description: Running brute force parallel (adjacency list)
Computational environment:  Common KVM processor with 4 GB of RAM running in Current operational system information: posix.uname_result(sysname='Linux', nodename='labic-vm-test', release='5.15.0-100-generic', version='#110-Ubuntu SMP Wed Feb 7 13:27:48 UTC 2024', machine='x86_64')
Original binary file name: app_BF-ADJACENCY
Default arguments given: " "
Default number of independent runs: 1 -- Default timelimit in seconds for each run: 21600 -- Default starting seed: 0
Amount of instances in this test battery: 206
Details about each failed run, overriden arguments, or repeated instances should be seen in the respective log file. You may also use the original json archived here for this same purpose.

+---------------------------+----------------------+-----------------------+------------------------------------------+---------------------------------------+---------+--------+-------------+-------------+
|       Instance Name       |        Subdir        | #Successes/#TotalRuns | Avg running time (s) (MIN/MAX) [std_dev] | Avg stretch index (MIN/MAX) [std_dev] | #Vertex | #Edges | Lower Bound | Total trees |
+---------------------------+----------------------+-----------------------+------------------------------------------+---------------------------------------+---------+--------+-------------+-------------+
| !+jupiter/graph_1.txt    | jupiter/graph_1/    |          1/1          |      1061.22 (1061.22/1061.22) [0]       |              3 (3/3) [0]              |    12   |   44   |      2      |  318457152  |
| !+jupiter/graph_3.txt    | jupiter/graph_3/    |          1/1          |     0.000465 (0.000465/0.000465) [0]     |              3 (3/3) [0]              |    12   |   35   |      3      |      1      |
| !+jupiter/graph_10.txt   | jupiter/graph_10/   |          1/1          |      63.1945 (63.1945/63.1945) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   27119980  |
| !+jupiter/graph_11.txt   | jupiter/graph_11/   |          1/1          |      193.565 (193.565/193.565) [0]       |              3 (3/3) [0]              |    12   |   39   |      2      |   82061783  |
| !+jupiter/graph_13.txt   | jupiter/graph_13/   |          1/1          |      195.972 (195.972/195.972) [0]       |              3 (3/3) [0]              |    12   |   39   |      2      |   73209760  |
| !+jupiter/graph_14.txt   | jupiter/graph_14/   |          1/1          |        228.33 (228.33/228.33) [0]        |              3 (3/3) [0]              |    12   |   40   |      2      |   89385106  |
| !+jupiter/graph_16.txt   | jupiter/graph_16/   |          1/1          |      1.03292 (1.03292/1.03292) [0]       |              3 (3/3) [0]              |    12   |   33   |      3      |    615760   |
| !+jupiter/graph_17.txt   | jupiter/graph_17/   |          1/1          |      11798.9 (11798.9/11798.9) [0]       |              2 (2/2) [0]              |    12   |   53   |      2      |  3537696778 |
| !+jupiter/graph_23.txt   | jupiter/graph_23/   |          1/1          |      596.939 (596.939/596.939) [0]       |              3 (3/3) [0]              |    12   |   42   |      2      |  194088744  |
| !+jupiter/graph_29.txt   | jupiter/graph_29/   |          1/1          |      37.8342 (37.8342/37.8342) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   10089808  |
| !+jupiter/graph_31.txt   | jupiter/graph_31/   |          1/1          |     0.014327 (0.014327/0.014327) [0]     |              3 (3/3) [0]              |    12   |   33   |      3      |     7402    |
| !+jupiter/graph_43.txt   | jupiter/graph_43/   |          1/1          |      3.73897 (3.73897/3.73897) [0]       |              3 (3/3) [0]              |    12   |   34   |      3      |   2087703   |
| !+jupiter/graph_46.txt   | jupiter/graph_46/   |          1/1          |      15.4481 (15.4481/15.4481) [0]       |              3 (3/3) [0]              |    12   |   36   |      3      |   8076158   |
| !+jupiter/graph_55.txt   | jupiter/graph_55/   |          1/1          |      3.80844 (3.80844/3.80844) [0]       |              3 (3/3) [0]              |    12   |   33   |      3      |   2125142   |
| !+jupiter/graph_58.txt   | jupiter/graph_58/   |          1/1          |     0.386864 (0.386864/0.386864) [0]     |              3 (3/3) [0]              |    12   |   33   |      3      |    228809   |
| !+jupiter/graph_59.txt   | jupiter/graph_59/   |          1/1          |     0.017402 (0.017402/0.017402) [0]     |              3 (3/3) [0]              |    12   |   33   |      3      |    10885    |
