instance,lower_bound,expected,calculated,difference,status
../instances/jupiter/graph_14.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_31.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_43.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_59.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_69.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_72.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_74.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_121.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_129.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_160.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_173.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_176.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_178.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_255.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_279.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_311.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_316.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_318.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_412.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_435.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_445.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_448.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_476.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_483.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_521.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_539.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_559.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_571.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_598.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_611.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_612.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_617.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_624.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_651.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_652.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_654.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_669.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_671.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_689.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_696.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_709.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_713.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_728.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_738.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_759.txt,2,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_763.txt,3,3.0,4.0,1.0,MISMATCH
../instances/jupiter/graph_764.txt,3,3.0,4.0,1.0,MISMATCH
